,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
193,Central Michigan ,MAC,15-15,0.4537,100.2,185,102,191,64.5,284,-0.027,222,0.4454,218,98.9,257,100.8,165,0.473,237
194,Davidson ,SC,16-15,0.4533,102.3,157,104.2,228,66.3,218,-0.005,155,0.524,163,102.4,150,101.5,190,0.6545,67
195,Quinnipiac ,NEC,23-10,0.4493,102.3,156,104.4,230,69.1,81,-0.034,242,0.2194,338,94,339,105,331,0.3592,322
196,Portland St. ,BSky,13-19,0.4354,109.5,55,112.4,338,67.6,152,-0.085,325,0.5199,164,102.5,144,101.8,206,0.6922,39
197,Southeastern Louisiana ,Slnd,19-12,0.4308,99.9,189,102.6,203,67.4,163,-0.018,190,0.3418,288,98.1,282,103.9,303,0.4305,272
198,Manhattan ,MAAC,20-Nov,0.4297,97.2,229,99.9,150,67.7,149,-0.121,344,0.4788,195,99.7,235,100.4,149,0.455,252
199,Arkansas St. ,SB,17-14,0.4288,97.7,224,100.5,157,67.5,159,-0.011,170,0.3921,253,99.8,230,103.7,292,0.4712,238
200,Canisius ,MAAC,15-17,0.4257,99.2,197,102.1,195,66.4,214,-0.016,183,0.439,227,98.4,268,100.6,157,0.3673,317
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
201,Eastern Illinois ,OVC,19-12,0.4203,98.8,203,102,190,64.5,283,0.081,15,0.3854,257,99.3,242,103.5,278,0.4299,273
202,Texas San Antonio ,Slnd,19-11,0.4181,102.4,153,105.8,258,64.2,291,0.008,115,0.3623,274,98.4,267,103.4,271,0.4027,301
203,Austin Peay ,OVC,17-15,0.4172,102.8,151,106.2,261,67.3,169,0.065,26,0.5133,166,102,162,101.5,189,0.7307,20
204,Georgia St. ,CAA,20-Dec,0.4136,98.7,207,102.1,194,63.3,315,-0.072,308,0.5003,173,100.8,198,100.8,161,0.3736,315
205,San Francisco ,WCC,18-Dec,0.4126,98.4,212,101.9,185,67.6,151,-0.004,151,0.5999,119,104.5,79,100.9,169,0.6392,82
206,Bowling Green ,MAC,14-16,0.4108,99.5,193,103,211,64.4,285,0.041,53,0.5443,153,101.9,163,100.4,148,0.5523,165
207,Mercer ,ASun,16-17,0.4083,106.2,99,110.1,312,69.3,73,-0.026,220,0.449,217,98.9,258,100.7,160,0.6785,44
208,Florida Atlantic ,SB,14-16,0.4065,101.7,163,105.6,251,68.8,92,-0.053,279,0.4608,207,100.8,197,102.2,219,0.6458,75
209,Montana St. ,BSky,15-14,0.4041,101.2,168,105.1,243,64.6,281,0.002,131,0.4497,215,102.3,156,104.1,308,0.5714,145
210,James Madison ,CAA,13-20,0.3941,100,186,104.3,229,67.9,135,-0.014,180,0.4955,181,100.9,192,101,172,0.3723,316
211,Maine ,AE,19-11,0.3908,92.7,288,96.8,96,66,230,0.112,4,0.3692,271,98.3,275,102.9,252,0.4946,213
212,Louisiana Lafayette ,SB,13-17,0.3905,98.1,220,102.4,200,66.8,192,-0.08,320,0.3928,251,99.8,228,103.7,290,0.485,227
213,Evansville ,MVC,21-Sep,0.3795,96.6,237,101.4,178,66.6,202,-0.067,303,0.5876,122,103.7,102,100.5,156,0.3475,329
214,Loyola MD ,MAAC,13-17,0.3794,98.2,217,103.1,213,66.9,191,-0.045,260,0.4404,224,98.1,281,100.2,141,0.3501,327
215,Cal St. Fullerton ,BW,16-15,0.3736,101.1,170,106.4,263,69.1,83,0.023,86,0.4435,220,100.1,217,102.1,217,0.4996,208
216,Hampton ,MEAC,14-18,0.3729,94.3,273,99.2,139,67.5,156,-0.12,343,0.253,328,95.7,321,105.2,334,0.4192,284
217,South Dakota St. ,Sum,14-16,0.3701,103.4,143,108.9,294,68.4,116,-0.062,297,0.3859,256,99.1,256,103.2,260,0.5878,131
218,Tulane ,CUSA,22-Aug,0.3673,93.6,281,98.7,125,67,184,-0.083,323,0.57,139,102.5,143,100.1,134,0.4665,241
219,San Diego ,WCC,21-Nov,0.367,95.9,247,101.2,173,63.4,311,-0.057,293,0.5766,137,103.4,111,100.7,158,0.5854,133
220,Loyola Chicago ,Horz,14-16,0.3607,99.4,194,105.1,245,64.4,286,0.048,45,0.5771,136,103.3,122,100.5,155,0.51,199
221,NC Wilmington ,CAA,22-Sep,0.3473,96,246,102.1,193,69.4,72,-0.071,305,0.6012,116,103.4,112,99.8,124,0.6122,104
222,Arkansas Pine Bluff,SWAC,18-16,0.3471,91.2,302,97,97,66.2,221,0.042,51,0.3499,282,96.3,313,101.7,197,0.8103,4
223,UC Davis ,BW,14-18,0.3454,98.7,206,105.1,242,67.7,146,-0.016,185,0.4165,238,98.7,262,101.6,194,0.4327,271
224,Texas St. ,Slnd,15-16,0.3427,96.7,234,103.1,212,76,3,0.013,107,0.4327,230,99.9,223,102.3,226,0.5642,150
225,Youngstown St. ,Horz,22-Aug,0.3424,98,222,104.4,231,68.4,115,-0.091,332,0.5811,132,102.5,145,99.7,117,0.5159,194
226,Holy Cross ,Pat,22-Sep,0.3381,101.2,169,108,288,66.2,222,-0.156,347,0.3861,255,99.4,240,103.5,283,0.508,202
227,Ball St. ,MAC,15-15,0.3359,91.8,295,98.2,112,63.5,308,0.042,50,0.4377,229,99.6,236,101.8,208,0.4344,267
228,Radford ,BSth,19-12,0.3358,93.5,282,100,151,68.7,95,0.057,39,0.3047,311,97.3,299,104.5,318,0.6351,87
229,Winthrop,BSth,19-14,0.3346,89.5,316,95.7,80,65.4,260,0.04,55,0.3063,309,97.3,300,104.4,315,0.5912,127
230,Furman ,SC,13-17,0.333,95.7,251,102.4,199,68.9,91,-0.06,296,0.3731,267,98.6,265,103.1,257,0.301,343
231,Cal St. Northridge ,BW,21-Nov,0.3311,95.2,260,102,189,71.9,22,-0.033,235,0.4804,192,101.1,184,101.8,207,0.5572,160
232,UC Riverside ,BW,17-Dec,0.3251,96.6,238,103.7,217,62.2,327,-0.05,274,0.439,226,99.9,226,102,214,0.4889,219
233,East Carolina ,CUSA,21-Oct,0.3248,100,187,107.4,278,68.5,105,-0.026,219,0.6676,78,103.7,103,97.6,56,0.697,35
234,IUPU Fort Wayne ,Sum,16-15,0.3228,94.8,268,101.9,188,67.1,182,0.027,81,0.3484,284,99.1,254,104.7,324,0.4539,255
235,Bucknell ,Pat,14-17,0.3164,96.6,239,104.1,225,65.4,256,-0.033,239,0.3136,303,98.3,273,105.2,335,0.3634,319
236,Texas Arlington ,Slnd,16-14,0.3039,95,266,103,210,71.9,21,-0.004,152,0.3213,299,98.3,274,104.9,330,0.2761,346
237,Northern Arizona ,BSky,14-14,0.3019,96.5,240,104.8,235,67.4,164,0.077,17,0.4676,202,101.7,169,102.8,246,0.6091,108
238,North Dakota St. ,Sum,18-Nov,0.3015,94.8,269,102.9,207,68.4,119,-0.069,304,0.374,266,98.9,259,103.4,268,0.5582,157
239,Lafayette ,Pat,19-13,0.301,101.5,166,110.2,315,68.2,125,0.061,31,0.2554,324,95.9,317,105.3,336,0.2517,347
240,Hawaii ,WAC,20-Oct,0.2993,98.2,218,106.7,266,66,229,-0.064,301,0.4985,177,103.2,125,103.2,262,0.3222,339
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
241,Northern Illinois ,MAC,20-Oct,0.2954,96.1,244,104.6,233,71.3,28,-0.054,283,0.4621,206,99.7,233,101,174,0.4798,232
242,Samford ,SC,20-Nov,0.2944,98.9,201,107.7,284,57.7,347,-0.088,327,0.5028,171,101.3,180,101.2,180,0.6413,79
243,Chattanooga ,SC,15-18,0.2944,95.4,257,103.8,221,70.4,42,0.022,88,0.4383,228,101,190,103.2,258,0.4576,250
244,Wyoming ,MWC,21-Oct,0.2936,95.2,261,103.7,218,70.9,33,-0.007,157,0.6049,114,103.3,115,99.6,115,0.4081,294
245,Illinois Chicago ,Horz,22-Aug,0.2922,94.9,267,103.5,216,68.9,88,-0.039,249,0.6112,111,103.3,114,99.3,107,0.5936,123
246,NC Greensboro ,SC,23-Aug,0.291,95.1,263,103.8,219,67.7,147,-0.04,250,0.5852,126,102.4,147,99.4,110,0.7747,9
247,Santa Clara ,WCC,21-Nov,0.2893,93.9,279,102.5,202,67.1,180,0.003,121,0.532,158,101.9,164,100.8,164,0.4892,217
248,Rice ,CUSA,23-Aug,0.2891,94.2,274,102.9,206,67.4,160,-0.093,334,0.5252,162,101.8,168,100.9,168,0.3942,308
249,South Dakota ,GWC,22-10,0.2848,96.6,236,105.7,256,74.3,7,0.098,8,0.2211,337,94.8,332,105.8,343,0.4739,236
250,Cal Poly ,BW,19-Dec,0.2847,101,175,110.5,322,67.6,154,0.035,65,0.4491,216,100.7,201,102.5,235,0.4874,221
251,Tennessee Tech ,OVC,15-17,0.2835,102.1,160,111.8,336,67.9,136,0.088,11,0.4893,187,101.6,172,102,212,0.6538,68
252,Towson ,CAA,21-Oct,0.2778,100.4,183,110.2,316,69.4,70,0,141,0.529,160,100.8,199,99.7,120,0.4823,230
253,Tennessee St. ,OVC,23-Sep,0.2748,95.8,249,105.3,248,68.8,94,-0.021,201,0.5027,172,101.6,173,101.5,186,0.6623,60
254,Delaware ,CAA,24-Jul,0.2701,96.9,231,106.8,268,65.3,263,0.024,85,0.6218,105,103.2,124,98.8,95,0.6361,86
255,Yale ,Ivy,19-Dec,0.2679,95.2,262,105,241,67.8,140,-0.046,267,0.3552,279,98.2,278,103.4,273,0.358,323
256,Air Force ,MWC,21-Oct,0.2667,95.1,264,105,240,58.2,346,-0.054,284,0.5864,123,102.4,151,99.3,106,0.3592,321
257,South Alabama ,SB,17-15,0.2654,94.1,277,103.9,222,66.2,220,0.103,6,0.4052,247,99.9,224,103.3,264,0.4415,263
258,South Carolina St. ,MEAC,18-14,0.2652,95.7,250,105.7,253,68.6,101,0.017,94,0.2619,321,95.8,319,104.8,328,0.435,266
259,UC Irvine ,BW,14-18,0.2646,98.9,202,109.3,299,64.8,276,0.003,126,0.3805,261,99.9,227,104.2,312,0.3423,331
260,Elon ,SC,23-Sep,0.2611,94.7,270,104.8,239,68.2,123,-0.033,236,0.4921,184,101.3,178,101.6,192,0.5723,144
261,Army ,Pat,14-15,0.2511,87.6,329,97.5,101,64.2,289,-0.03,229,0.2832,317,97.8,288,106,344,0.2995,344
262,Jacksonville St. ,OVC,19-Nov,0.2506,96.4,241,107.3,272,67.9,139,-0.072,307,0.3925,252,99.9,225,103.7,299,0.4118,290
263,Norfolk St. ,MEAC,19-Nov,0.2501,94.6,271,105.3,247,72.4,16,-0.036,245,0.3208,300,96.2,315,102.7,242,0.5543,163
264,Delaware St. ,MEAC,17-12,0.2475,94.3,272,105.1,244,59.3,345,0.068,22,0.2615,322,95.6,323,104.6,321,0.5284,180
265,New Hampshire ,AE,13-17,0.2428,89.7,311,100.3,156,65.3,265,-0.007,156,0.3598,276,97.7,292,102.7,243,0.4445,260
266,Long Island ,NEC,14-17,0.2397,98,221,109.7,306,68.6,102,-0.004,153,0.2552,325,94.3,336,103.5,282,0.4516,256
267,Nicholls St. ,Slnd,19-Nov,0.236,97.3,227,109.1,297,62.9,319,0.003,122,0.4624,205,101,187,102.4,231,0.7006,33
268,Texas Southern ,SWAC,17-16,0.2319,91,303,102.3,197,68,132,-0.017,187,0.2257,335,93.4,342,104,305,0.5933,124
269,Brown ,Ivy,20-Nov,0.2291,98.5,211,110.9,325,67.7,145,-0.009,165,0.4228,237,98.7,261,101.4,184,0.4826,229
270,Louisiana Monroe ,SB,19-Dec,0.226,96.7,235,109,296,67.4,161,0.034,69,0.3756,264,99.1,253,103.6,285,0.4172,285
271,North Florida ,ASun,13-18,0.2258,90,309,101.5,180,64.6,280,0.085,14,0.4705,201,100.4,209,101.5,185,0.7141,27
272,Western Illinois ,Sum,13-17,0.225,89.6,313,101.1,170,62.1,328,-0.026,218,0.3364,292,97.8,290,103.7,298,0.4145,289
273,McNeese St. ,Slnd,20-Oct,0.2245,97.5,225,110,311,66.8,194,-0.037,246,0.4062,246,99.2,248,102.5,236,0.5483,168
274,Kennesaw St. ,ASun,13-20,0.2219,95.5,256,108,286,65.1,268,0,142,0.3952,249,98.5,266,102.2,221,0.4857,225
275,Binghamton ,AE,13-18,0.2215,95.8,248,108.3,290,64.1,296,0.036,63,0.4277,232,99.7,232,102.3,222,0.5908,129
276,Jackson St. ,SWAC,19-13,0.2207,92,294,104,223,65.5,253,0.132,2,0.2447,330,94,338,103.7,296,0.6465,74
277,Colgate ,Pat,19-Oct,0.2165,96.1,243,109,295,66.9,190,-0.043,256,0.3169,302,97.1,305,103.8,301,0.36,320
278,Sacred Heart ,NEC,14-15,0.2129,96.2,242,109.3,301,70.3,48,-0.001,145,0.2332,334,94.9,331,105.3,337,0.4086,293
279,Arkansas Little Rock ,SB,22-Aug,0.2127,97.2,228,110.5,318,67.2,176,-0.035,244,0.4816,190,101.4,176,102,216,0.7108,29
280,South Carolina Upstate ,ASun,23-Jun,0.2084,89.5,315,101.9,186,66.5,210,-0.075,313,0.4728,199,99.9,222,100.9,167,0.7417,16
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
281,American ,Pat,20-Nov,0.2076,92.8,287,105.7,254,63.8,302,0.002,129,0.3228,297,98.2,277,104.7,326,0.3647,318
282,Georgia Southern ,SC,23-Sep,0.2022,96.8,232,110.7,323,72.1,18,0.069,20,0.5361,156,102.4,148,101.1,178,0.6196,99
283,Lamar ,Slnd,14-18,0.2007,93.9,280,107.4,277,68.9,90,0.039,57,0.3939,250,99.1,255,102.9,249,0.4264,277
284,Eastern Washington ,BSky,21-Sep,0.1993,93,285,106.5,265,69.2,77,-0.019,197,0.4862,188,102.3,155,102.8,247,0.6035,115
285,High Point ,BSth,15-15,0.1967,95.3,258,109.4,302,68.3,121,0.038,60,0.2369,332,95.1,329,105.3,338,0.3963,306
286,Idaho St. ,BSky,22-Jul,0.1962,100.8,178,115.7,345,64.1,294,-0.019,194,0.5662,140,103.2,123,100.9,166,0.774,10
287,Cal St. Bakersfield ,ind,22-Jul,0.194,93.2,283,107,271,68.6,104,-0.026,216,0.4498,214,101.1,185,102.9,251,0.4498,257
288,Navy ,Pat,13-17,0.1932,94,278,108,287,72.5,13,0.061,29,0.2924,315,97.2,303,105,332,0.3047,342
289,Pepperdine ,WCC,24-Jul,0.1927,95,265,109.3,300,66.7,196,-0.012,173,0.5411,155,103,133,101.5,187,0.4837,228
290,Northwestern St. ,Slnd,19-Oct,0.1914,96,245,110.5,319,75.2,4,-0.019,196,0.3703,269,98.8,260,103.5,277,0.4631,246
291,Florida International ,SB,25-Jul,0.1865,96.7,233,111.7,333,69.3,74,-0.029,228,0.4554,211,100.6,207,102.1,218,0.5352,177
292,Albany ,AE,25-Jul,0.1841,94.1,276,108.9,293,65.4,258,-0.085,326,0.3982,248,98.4,269,102,213,0.4947,212
293,Alabama St. ,SWAC,16-15,0.184,91.5,299,105.8,257,66.1,228,0.011,111,0.2101,341,92.2,345,103.5,281,0.6397,81
294,Liberty ,BSth,15-16,0.1833,93,284,107.6,281,67.3,166,0.039,58,0.312,304,97.2,301,104.1,307,0.6472,73
295,Bethune Cookman ,MEAC,17-16,0.1831,91.5,297,105.9,260,60.3,339,0.033,70,0.2531,327,95.4,324,104.8,329,0.408,295
296,NC Asheville ,BSth,15-16,0.1808,94.2,275,109.2,298,72.8,11,0.058,34,0.3282,295,97.2,304,103.4,272,0.6939,36
297,Longwood ,ind,19-Dec,0.179,95.3,259,110.5,321,74.4,6,0,139,0.4064,244,97.9,287,101.1,176,0.4064,298
298,Florida Gulf Coast ,ASun,21-Aug,0.1787,92.5,291,107.4,275,67.9,137,-0.003,149,0.3727,268,98.1,283,102.6,237,0.415,288
299,Pennsylvania ,Ivy,22-Jun,0.1771,95.6,253,111,327,65.4,257,-0.052,278,0.4561,209,100.2,214,101.8,204,0.5403,172
300,Missouri Kansas City ,Sum,18-Dec,0.175,95.6,254,111.2,328,66.7,198,0.03,76,0.3438,287,98.2,279,103.9,304,0.4068,297
301,Columbia ,Ivy,17-Nov,0.1717,89.3,317,104.1,226,65.3,266,0.029,79,0.3401,289,97.9,285,103.7,297,0.3098,340
302,North Carolina A&T ,MEAC,22-Nov,0.169,92.1,292,107.6,283,68.9,87,-0.054,285,0.3526,280,97.5,295,102.8,245,0.6056,114
303,Central Arkansas ,Slnd,21-Sep,0.1687,90.6,307,105.8,259,65.1,271,-0.1,339,0.3627,273,99.2,247,104.2,311,0.4257,279
304,Charleston Southern ,BSth,13-17,0.1687,91.5,298,106.9,270,64,299,-0.008,160,0.2977,314,97,306,104.5,319,0.6701,53
305,Sacramento St. ,BSky,21-Sep,0.1672,91.4,300,106.8,269,68,133,-0.013,176,0.4396,225,100.9,191,103.1,255,0.4851,226
306,Monmouth ,NEC,19-Dec,0.167,90.4,308,105.7,255,66.7,201,-0.041,253,0.254,326,95.3,325,104.7,325,0.4212,283
307,Fordham ,A10,26-Feb,0.1657,90.9,305,106.5,264,72.3,17,-0.053,281,0.6594,82,104,91,98.2,79,0.4874,220
308,Central Connecticut ,NEC,18-Dec,0.1627,91,304,106.8,267,64.8,274,-0.019,193,0.2143,340,94.1,337,105.3,339,0.3293,337
309,Savannah St. ,ind,15-Nov,0.1593,87.5,330,102.9,209,63.5,309,0.011,112,0.3401,290,96.6,309,102.3,228,0.3401,333
310,St. Francis NY ,NEC,18-Nov,0.1505,88,325,104.1,227,65.1,270,0.032,72,0.2465,329,95.3,326,105.1,333,0.4298,275
311,Hartford ,AE,22-Aug,0.1446,92.6,290,110.1,313,64.8,275,-0.049,273,0.3685,272,98.3,272,103,254,0.4298,274
312,Southeast Missouri St. ,OVC,23-Jul,0.1445,88.4,322,105.2,246,68.5,109,-0.053,282,0.4407,223,100.8,195,102.9,250,0.5102,198
313,St. Francis PA ,NEC,19-Nov,0.141,92.6,289,110.5,320,65.3,262,0.019,92,0.3005,312,96.4,311,103.8,300,0.5377,175
314,Prairie View A&M ,SWAC,16-14,0.1363,84.3,340,100.9,166,67.3,168,0.037,61,0.2008,344,92.7,344,104.6,320,0.6783,45
315,New Orleans ,SB,22-Aug,0.1333,87.3,332,104.8,238,65.3,264,-0.01,169,0.3842,258,99.1,251,103.3,265,0.4073,296
316,Fairleigh Dickinson ,NEC,21-Nov,0.1287,89.7,312,108.1,289,68.4,118,0.043,49,0.2877,316,96.4,312,104.3,314,0.4898,216
317,Virginia Military Inst ,BSth,19-Oct,0.1198,99.6,191,121,347,84.1,1,-0.008,159,0.3108,306,95.8,320,102.6,239,0.7359,19
318,MD Baltimore County ,AE,26-Apr,0.1129,92.9,286,113.6,341,67.8,142,-0.081,322,0.3596,277,97.8,289,102.8,248,0.3981,304
319,Houston Baptist ,GWC,21-Dec,0.1074,91.7,296,112.7,339,74,9,0.039,59,0.1998,345,93.7,340,105.7,342,0.332,336
320,Centenary ,Sum,21-Aug,0.1072,92,293,113.1,340,70.7,37,0.001,132,0.4063,245,99.8,231,103.1,256,0.5752,140
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
321,Tennessee Martin ,OVC,25-Apr,0.104,89,320,109.8,309,70.8,34,-0.022,203,0.4755,197,100.9,193,101.7,201,0.6065,112
322,Maryland Eastern Shore ,MEAC,21-Nov,0.1035,89.2,318,110.1,314,66.3,217,0.047,46,0.2775,318,95.8,318,104.2,310,0.4333,270
323,Toledo ,MAC,28-Apr,0.101,86.9,334,107.5,280,61.3,335,0.002,130,0.5478,150,102.1,159,100.4,151,0.6073,110
324,Coppin St. ,MEAC,22-Aug,0.0983,87.4,331,108.5,292,65.9,238,-0.097,336,0.3049,310,96.5,310,103.7,293,0.5215,188
325,Texas Pan American ,GWC,27-Jun,0.0955,86.2,335,107.4,274,68,131,-0.089,329,0.3282,296,97.4,297,103.7,294,0.5829,136
326,Mississippi Valley St. ,SWAC,23-Sep,0.0948,89.5,314,111.5,332,68.5,111,-0.013,177,0.2664,320,93.6,341,102.3,223,0.6693,55
327,Southern Utah ,Sum,22-Jul,0.0941,87.7,327,109.4,303,68.1,128,-0.012,174,0.4109,242,100.3,213,103.4,276,0.5844,135
328,Utah Valley ,GWC,18-Dec,0.0928,87.7,328,109.6,305,62.5,323,-0.039,248,0.2039,343,94.3,335,106.2,345,0.4167,286
329,Florida A&M ,MEAC,22-Sep,0.0899,91.3,301,114.5,343,68.4,117,0.044,47,0.3114,305,96.3,314,103.2,261,0.5264,183
330,Stetson ,ASun,22-Jul,0.0895,88.5,321,110.9,326,67.1,179,0.036,62,0.452,213,99.4,241,101.1,175,0.6751,48
331,Gardner Webb ,BSth,21-Aug,0.0879,89,319,111.8,337,71.5,24,-0.013,175,0.3509,281,98.2,280,103.6,284,0.7813,8
332,Marist ,MAAC,29-Jan,0.084,88.1,324,111.2,329,64,298,-0.018,192,0.5065,170,100,218,99.8,125,0.425,280
333,Presbyterian ,BSth,26-May,0.0818,88.2,323,111.7,335,63.8,300,-0.057,291,0.4296,231,99.3,245,101.7,202,0.8141,3
334,Alabama A&M ,SWAC,16-Nov,0.0802,84.7,338,107.4,279,70.8,35,-0.025,212,0.1632,347,90.8,347,104.7,323,0.6613,61
335,Wagner ,NEC,26-May,0.0793,87.9,326,111.7,334,66.5,209,-0.025,211,0.2605,323,95,330,104,306,0.3399,334
336,Winston Salem St. ,ind,17-Dec,0.0765,84.5,339,107.8,285,67.7,148,0.067,24,0.3341,293,97.3,298,103.3,266,0.3341,335
337,SIU Edwardsville ,ind,23-May,0.0659,85.9,336,111.3,330,68.6,100,-0.001,144,0.4413,222,100.2,215,102.3,225,0.4413,264
338,North Carolina Central ,ind,22-Jul,0.0632,82.5,342,107.3,273,67.9,138,-0.022,204,0.426,234,99.1,252,101.7,203,0.426,278
339,Howard ,MEAC,25-Jul,0.0628,85.1,337,110.8,324,65.8,239,0.002,127,0.3207,301,96.9,307,103.5,279,0.5091,200
340,Dartmouth ,Ivy,23-May,0.0623,81.6,344,106.3,262,64.8,273,0.016,97,0.3772,262,98.6,264,103,253,0.3424,330
341,NJ Inst of Technology ,GWC,21-Oct,0.059,82.1,343,107.6,282,67.8,143,-0.066,302,0.215,339,95.2,328,106.5,347,0.3988,303
342,Grambling ,SWAC,21-Jul,0.0574,87,333,114.4,342,69.1,78,-0.011,171,0.1967,346,92.2,346,104.2,313,0.5469,169
343,Chicago St. ,GWC,23-Sep,0.0529,82.8,341,109.7,307,68.3,120,-0.008,161,0.2441,331,95.6,322,105.5,340,0.4651,243
344,North Dakota ,GWC,23-Aug,0.0503,89.9,310,119.7,346,65.5,252,-0.014,178,0.2355,333,94.6,334,104.8,327,0.4387,265
345,Southern ,SWAC,25-May,0.0428,81.5,345,110.3,317,70.1,56,-0.032,234,0.2245,336,93,343,103.6,288,0.5745,141
346,Bryant ,NEC,29-Jan,0.0237,77.6,347,111.5,331,63.7,305,-0.033,238,0.3219,298,97.6,293,104.1,309,0.5724,143
347,Alcorn St. ,SWAC,Feb-29,0.0216,79.3,346,115,344,74.1,8,-0.035,243,0.3002,313,95.2,327,102.5,234,0.6994,34
